Name	Global_Rank	US_Rank	Framework	Ecommerce	Analytics
winechina.com	37,940		"Shockwave Flash Embed,ASP_NET"		"Baidu Analytics"
wierdporno.com	312,167	83,305			
wikispaces.com	2,101	1,905			"Google Analytics,Google Analytics Anonymize IP"
winzip.com	3,118	3,790	"Adobe Dreamweaver"		"Google Analytics,Google Analytics Anonymize IP,Visual Website Optimizer,New Relic,Google eCommerce Conversion Tracking,Omniture SiteCatalyst"
williamhiggins.com	246,416		PHP	"Cart Functionality"	"Google Analytics,comScore"
wifeysworld.com	82,525	46,235	PHP		"Google Analytics"
winespectator.com	19,676	8,215	PHP		"Google Analytics Enchanced Link Attribution,Google Analytics"
wine-searcher.com	5,704	2,262	DAV,PHP		"Facebook Domain Insights,CrazyEgg,Google Analytics,Preact,Quantcast Measurement,Google Analytics with Ad Tracking"
wildtangent.com	27,828	11,789	"PHP,ASP_NET MVC"		"Facebook Domain Insights,Google Analytics Enchanced Link Attribution,comScore,Google Analytics,Safe Count,Quantcast Measurement,WordPress Stats,VoiceFive"
winebusiness.com	66,301	15,477	J2EE,ASP_NET		"Google Analytics,Urchin 5"
windowsphone.com	989		"ASP_NET MVC,ASP_NET"		"Facebook Domain Insights,Atlas Action Tags,Quantcast Measurement,VoiceFive,Omniture SiteCatalyst"
wildstar-online.com	31,989	13,301			"Google eCommerce Conversion Tracking,Twitter Analytics"
winnipegfreepress.com	25,010				"MediaMind,Lotame Crowd Control,Adometry,comScore,Google Analytics,Google Universal Analytics,MediaMath"
wikivoyage.org	23,323		PHP		
winemag.com	45,967	15,318	PHP		"Facebook Domain Insights,Lotame Crowd Control,Google Analytics,Quantcast Measurement,MediaMath,Google Analytics Multiple Trackers,Omniture SiteCatalyst"
wikiquote.org	2,685	3,036	PHP		
whfoods.com	10,292	3,385	PHP		"Google Analytics,aWeber"

wickedlocal.com	23,798	6,382	"Shockwave Flash Embed,Python"		"Real Media Group,Krux Digital,Reinvigorate,Datalogix,Buysight,Efficient Frontier,Lotame Crowd Control,Neustar AdAdvisor,Quantcast Measurement,Tynt Tracer,Dotomi,OwnerIQ,comScore,Google Analytics,Compuware Analytics,MediaMath,MediaMind,Rapleaf,Invite Media,DoubleClick Floodlight,Google Analytics Multiple Trackers,Acxiom,VoiceFive"


whatismyip.com	3,051	2,499	PHP,eleven40		"Google Analytics"
whitepages.com.au	12,979		J2EE		"New Relic,Invite Media,DoubleClick Floodlight,Omniture SiteCatalyst"
whois.sc	5,276	3,143			"Google Analytics"
wholesale-sex-toys.co.uk	253,635		ASP_NET	"Cart Functionality"	
whippedass.com	43,590	22,335	J2EE		"New Relic,Google Analytics,Optimizely"
whatifsports.com	27,597	5,270	ASP_NET		
wheels24.co.za	44,034		AjaxPro		"Facebook Domain Insights,comScore,Google Analytics,Nielsen//NetRatings,Effective Measure,Chartbeat,MediaMind,VoiceFive"
whyquit.com	154,331	83,042	ASP_NET		"Google Analytics"
whoscored.com	7,393		ASP_NET		"New Relic,Google Analytics"
weusecoins.com	15,107	11,611			"comScore,Google Analytics"
wfsb.com	29,098	5,949			"Krux Digital,Preact,Datalogix,Efficient Frontier,Interclick,Lotame Crowd Control,Moat,CrazyEgg,Neustar AdAdvisor,Quantcast Measurement,comScore,Google Analytics,MediaMath,Google Analytics with Ad Tracking,Chartbeat,MediaMind,Safe Count,Rapleaf,Invite Media,DoubleClick Floodlight,DataSphere,VoiceFive,Acxiom"
whitehouse.gov	3,964	1,460			"Facebook Domain Insights,Google Analytics Anonymize IP,Google Analytics"
whatsapp.com	2,479		PHP		"Google Analytics"
whatscookingamerica.net	19,285	4,221			"MediaMind,comScore,Google Analytics,VoiceFive"
whu.edu.cn	19,930				
wfaa.com	12,167	3,222			"Facebook Domain Insights,Krux Digital,Datalogix,Buysight,Omniture SiteCatalyst,Interclick,Lotame Crowd Control,Moat,Neustar AdAdvisor,Quantcast Measurement,Dotomi,OwnerIQ,comScore,Google Analytics,MediaMath,Netmining,Chartbeat,MediaMind,Invite Media,DataSphere,DoubleClick Floodlight,Acxiom,VoiceFive"

whufc.com	77,944				"Safe Count,Omniture SiteCatalyst"
whitesmoke.com	4,876		"Shockwave Flash Embed,PHP"		"Google Analytics,Google eCommerce Conversion Tracking,Quantcast Measurement,MediaMath"
zodcaps.com	168,223		"Frontpage Extensions"		"Google Analytics"
yell.com	3,295		PHP,J2EE		"Facebook Domain Insights,Google eCommerce Conversion Tracking,Omniture Adobe Test and Target mboxCreate,Omniture Adobe Test and Target,Omniture SiteCatalyst,OpinionLab"
yogajournal.com	21,329	8,195	PHP	"Miva Merchant"	"Gravity Insights,comScore,Crowd Science,Google Analytics,Nielsen//NetRatings,Quantcast Measurement,Compete"
wisconsinmommy.com	54,905	13,491	PHP	UltraCart	"Krux Digital,Datalogix,StatCounter,I-Behavior,Lotame Crowd Control,Neustar AdAdvisor,HitTail - Long Tail Keyword Marketing,Site Meter,Google Analytics,Alexa Analytics,MediaMath,Rapleaf,Invite Media,DoubleClick Floodlight,Acxiom,IXI Digital,Twitter Analytics"
ziraatbank.com.tr	12,181		"ASP_NET Ajax,ASP_NET,Microsoft Office SharePoint"		"Google Analytics"

wyndham.com	38,018	9,336	"JavaServer Faces,J2EE"		"Google Analytics,Compuware Analytics,Tea Leaf Technologies,Omniture SiteCatalyst,Interclick,OpinionLab,ClearSaleing Inc,Maxymiser,Dotomi"
yummly.com	2,946	842	"Ruby on Rails,Ruby on Rails Token"		"Fastly,Facebook Domain Insights,comScore,New Relic,Google Analytics,Omniture SiteCatalyst,Optimizely,Mixpanel"

wsbtv.com	16,928	3,207			"comScore,New Relic,Google Analytics,Omniture SiteCatalyst,Chartbeat,Google eCommerce Conversion Tracking,Neustar AdAdvisor,Quantcast Measurement,Acxiom"

xilinx.com	45,651		J2EE		"Google Analytics"
wordplays.com	113,360	52,274			"Facebook Domain Insights,Google Analytics"
worldtravelguide.net	54,746		PHP	RomanCart	"Nielsen//NetRatings,Datalogix,Efficient Frontier,Lotame Crowd Control,I-Behavior,Moat,Neustar AdAdvisor,Quantcast Measurement,Tynt Tracer,comScore,Google Analytics,MediaMath,MediaMind,Rapleaf,DoubleClick Floodlight,Acxiom,VoiceFive,IXI Digital"
youlookfab.com	105,384	52,430	PHP		"GetClicky,Google Analytics,comScore,New Relic,Datalogix,MediaMath,Netmining,Crowd Science,Neustar AdAdvisor,Quantcast Measurement,Invite Media,Acxiom,OwnerIQ"
xmu.edu.cn	20,657				
zamzar.com	4,432	3,730	PHP		"Visual Website Optimizer,Google Analytics,comScore,Nielsen//NetRatings"
ybw.com	57,324				"Google Analytics,New Relic,comScore,Nielsen//NetRatings,MediaMath,AudienceScience,Efficient Frontier,Omniture SiteCatalyst,Lotame Crowd Control,Moat,Optimizely"

xml.com	131,033	103,681			"Google Analytics,Omniture SiteCatalyst"
wpcentral.com	4,337		PHP		"Google Analytics,New Relic,comScore,Nielsen//NetRatings,Preact,MediaMath,Efficient Frontier,Chartbeat,Lotame Crowd Control,CrazyEgg,Google eCommerce Conversion Tracking,Rapleaf,Quantcast Measurement,VoiceFive,Twitter Analytics"
yinyanghouse.com	108,686	62,882		"Cart Functionality"	"Google Analytics"
woodtv.com	30,377	4,665	"Shockwave Flash Embed,PHP"		"Facebook Domain Insights,Krux Digital,Datalogix,Omniture SiteCatalyst,Interclick,Lotame Crowd Control,Neustar AdAdvisor,OwnerIQ,Google Analytics,comScore,New Relic,MediaMath,Netmining,Chartbeat,Invite Media,Acxiom,WordPress Stats,VoiceFive"
zeiss.com	44,582	54,150			"Google Analytics"
webcams.com	16,133	10,604			"Google Analytics"
webometrics.info	32,397		PHP		"GetClicky,Google Analytics,StatCounter"
webmath.com	52,055	21,732	PHP		"Google Analytics,Omniture SiteCatalyst"
webconfs.com	4,612		PHP		"Google Analytics"
weforum.org	28,101	31,513	PHP		"Google Analytics,comScore,MediaMath"
webanswers.com	25,119	15,199	"J2EE,ASP_NET,Adobe ColdFusion"		"Google Analytics,StatCounter"
webcrawler.com	417	519	"ASP_NET MVC"		"Google Analytics"
webhostingtalk.com	862	937			"Google Website Optimizer,Google Analytics"

webhostinggeeks.com	35,949	27,111	"PHP,Frontpage Extensions"		"Facebook Domain Insights,Google Analytics,CrazyEgg,Google eCommerce Conversion Tracking,Preact"
webpronews.com	2,343	1,184	PHP		"Piwik Web Analytics,Facebook Domain Insights,Google Analytics,Compuware Analytics,Quantcast Measurement,Chartbeat"
webyoung.com	284,019	111,011			"Google Analytics,New Relic"
weeklystandard.com	5,356	1,675	"ASP_NET Ajax,Shockwave Flash Embed,PHP"		"Krux Digital,Nielsen//NetRatings,Datalogix,Efficient Frontier,Lotame Crowd Control,Moat,Neustar AdAdvisor,Quantcast Measurement,OwnerIQ,Google Analytics,New Relic,comScore,MediaMath,Chartbeat,MediaMind,Safe Count,Google eCommerce Conversion Tracking,Acxiom,VoiceFive"
webjam.com	87,513				"Google Analytics,Hubspot"
webopedia.com	4,235				"ClickTale,Google Analytics,comScore,WebTrends,Quantcast Measurement"

webex.com	2,044	892			"Google eCommerce Conversion Tracking,Omniture Adobe Test and Target mboxCreate,Quantcast Measurement,DoubleClick Floodlight,Omniture Adobe Test and Target,Omniture SiteCatalyst,Demandbase"
web.com	3,627	1,008	"ASP_NET Ajax"		"Google Analytics,Omniture Adobe Test and Target mboxCreate,MediaMath,Omniture Adobe Test and Target,Omniture SiteCatalyst,Google eCommerce Conversion Tracking,Quantcast Measurement,DoubleClick Floodlight,Dotomi"
websudoku.com	12,614	4,510			"Quantcast Measurement"
webs.com	455	397	J2EE		"Google Analytics,Google eCommerce Conversion Tracking,Marin Software"

webmastercentral.com	221,434	132,530	PHP		
webelements.com	60,358	29,641	"PHP,Frontpage Extensions"		"Facebook Domain Insights,Google Analytics,Quantcast Measurement,Efficient Frontier"
webdeveloper.com	4,151				"comScore,Google Analytics,WebTrends"
webmasterworld.com	1,528	1,217			GetClicky
whitsend.org	104,326	24,913			"Google Analytics"


westeros.org	15,835	7,030			"Facebook Domain Insights,DataXu,Google Analytics,comScore,Nielsen//NetRatings,Datalogix,MediaMath,Netmining,Lotame Crowd Control,Safe Count,Neustar AdAdvisor,Invite Media,VoiceFive,OwnerIQ,Twitter Analytics"
windsorstar.com	32,459		PHP		"Lotame Crowd Control,Google Analytics,comScore,DoubleClick Floodlight,Omniture SiteCatalyst,Google Analytics with Ad Tracking,Chartbeat"
wfp.org	39,941	72,286			"Google Analytics,Optimizely,Google Analytics with Ad Tracking"
wilottery.com	77,797	15,101	"ASP_NET Ajax,ASP_NET"		"Google Analytics,Google Analytics Enchanced Link Attribution"
wikitree.com	29,717	6,712	PHP		"Facebook Domain Insights,Google Analytics,Google Analytics with Ad Tracking"
westonaprice.org	50,107	14,900	PHP		"Google Analytics,New Relic"
westjet.com	11,743		PHP,J2EE		"Omniture Adobe Test and Target mboxCreate,Google eCommerce Conversion Tracking,Atlas Action Tags,Quantcast Measurement,DoubleClick Floodlight,Omniture Adobe Test and Target,Omniture SiteCatalyst"
whitedovebooks.co.uk	61,118		PHP		"Shareaholic,Google Analytics,aWeber"
whistlerblackcomb.com	37,384		"Shockwave Flash Embed"		"Google Analytics,Google eCommerce Conversion Tracking,Quantcast Measurement,Omniture SiteCatalyst"
wgu.edu	25,293	4,451	"Shockwave Flash Embed"		"MediaMind,Google Analytics,Google eCommerce Conversion Tracking,Optimizely,Google Analytics with Ad Tracking"
westlaw.com	16,932	4,312	ASP_NET		
westpac.com.au	1,877				"MediaMind,Unica,Omniture SiteCatalyst"
whychristmas.com	77,982	47,586	PHP		"comScore,Google Analytics,MediaMath"
westfield.com	12,408	6,320			"Facebook Domain Insights,New Relic,Google Analytics,Google Analytics with Ad Tracking"

westword.com	18,198	3,739	PHP		"ClickTale,Google Analytics,comScore,Quantcast Measurement,Chartbeat"
whatreallyhappened.com	18,912	8,227	"Shockwave Flash Embed,PHP"	Ubercart	"Cross Pixel Media,Alexa Analytics,comScore,Google Analytics,Datalogix,MediaMath,Lotame Crowd Control,I-Behavior,Rapleaf,Quantcast Measurement"
wiiudaily.com	56,603	32,955	PHP		"comScore,Google Analytics,Datalogix,MediaMath,Efficient Frontier,MediaMind,Lotame Crowd Control,Neustar AdAdvisor,Rapleaf,Quantcast Measurement,WordPress Stats,VoiceFive,Twitter Analytics"
westernunion.com	3,496	1,373	J2EE,ASP_NET		"ClickTale,Google Analytics,Omniture Adobe Test and Target mboxCreate,MediaMath,Tea Leaf Technologies,Marin Software,Omniture Adobe Test and Target,Omniture SiteCatalyst,Quantcast Measurement,DoubleClick Floodlight,iovation"
wellness.com	21,171	5,932			"comScore,Google Analytics,MediaMath,Quantcast Measurement,Efficient Frontier"
wayport.net	3,951	796	J2EE		"comScore,Optimost,Google Analytics,WebTrends,Atlas Action Tags,Eloqua,ForeSee Results"
wayn.com	3,512				"Alexa Metrics,comScore,Google Analytics,Quantcast Measurement,Alexa Certified Site Metrics"
weathersa.co.za	43,883		PHP		"Google Analytics"
wattsupwiththat.com	10,343	4,152	PHP		"Google Analytics,comScore,Nielsen//NetRatings,Safe Count,Quantcast Measurement,DoubleClick Floodlight,VoiceFive,WordPress Stats,Site Meter"
weatherforyou.com	83,019	17,771	PHP		"Alexa Metrics,Google Analytics,Quantcast Measurement,Alexa Certified Site Metrics"
washingtonexaminer.com	7,510	1,485	"PHP,Zend Server"		"Facebook Domain Insights,Krux Digital,Preact,Nielsen//NetRatings,Datalogix,Efficient Frontier,Lotame Crowd Control,CrazyEgg,Neustar AdAdvisor,Quantcast Measurement,comScore,Google Analytics,MediaMath,Netmining,DoubleClick Floodlight,Acxiom"
wbur.org	17,258	4,003			"Facebook Domain Insights,Google Analytics Enchanced Link Attribution,comScore,Google Analytics,Compuware Analytics,Google Analytics with Ad Tracking,Chartbeat"
wasteland.com	191,321	69,276			"Google Analytics"
wayne.edu	27,766	7,157	PHP		"Google Analytics,Woopra,Google Analytics Multiple Trackers"
wdwmagic.com	64,732	17,388	"ASP_NET Ajax,Telerik Controls"		"comScore,Google Analytics,Nielsen//NetRatings,MediaMath,VoiceFive"
web-hosting-top.com	69,747				"Google Analytics"
wdwinfo.com	44,790	9,730	"Shockwave Flash Embed,Adobe Dreamweaver,ASP_NET"		"comScore,Google Analytics,Datalogix,MediaMath,Efficient Frontier,Netmining,Google Analytics with Ad Tracking,Lotame Crowd Control,Safe Count,Neustar AdAdvisor,Invite Media,Quantcast Measurement,Acxiom,OwnerIQ"
wcpo.com	26,566	5,029			"Google Analytics Enchanced Link Attribution,Google Analytics,comScore,Google Analytics with Ad Tracking,Chartbeat,Google Universal Analytics,Google eCommerce Conversion Tracking,Quantcast Measurement,VoiceFive"

weatherbug.com	7,804	1,508			"Nielsen//NetRatings,Datalogix,Interclick,Lotame Crowd Control,Moat,Neustar AdAdvisor,Quantcast Measurement,comScore,Google Analytics,MediaMath,Safe Count,Rapleaf,Invite Media,DoubleClick Floodlight,Acxiom,VoiceFive"
washingtonmonthly.com	64,068	11,718	"Shockwave Flash Embed"		"Krux Digital,Datalogix,Buysight,StatCounter,Lotame Crowd Control,Neustar AdAdvisor,Quantcast Measurement,Dotomi,OwnerIQ,Site Meter,DataXu,Google Analytics,comScore,MediaMath,MediaMind,Safe Count,Rapleaf,Invite Media,Acxiom,Twitter Analytics,IXI Digital"
wattpad.com	2,269	2,414	PHP,Laravel		"New Relic,Google Analytics,Quantcast Measurement"
washingtontimes.com	2,236	641			"Insight Express,Atlas Action Tags,Datalogix,Buysight,Efficient Frontier,Lotame Crowd Control,I-Behavior,Moat,Neustar AdAdvisor,Quantcast Measurement,Dotomi,OwnerIQ,Google Analytics,New Relic,comScore,MediaMath,Chartbeat,MediaMind,Invite Media,DoubleClick Floodlight,VoiceFive,IXI Digital"
weatherstreet.com	110,065	28,419	"Shockwave Flash Embed"		"Google Analytics"
weatherbase.com	105,482	29,866			"Google Analytics,Quantcast Measurement,Chartbeat"
wb270.com	137,376				
vit.ac.in	30,978		"ASP_NET,Microsoft Office Web Server"		"Google Analytics"
vmware.com	2,636	2,748			"Google Analytics,Omniture Adobe Test and Target mboxCreate,Eloqua,Omniture Adobe Test and Target,Omniture SiteCatalyst,OpinionLab,DoubleClick Floodlight,Demandbase,BrightEdge"
virginmedia.com	1,818				"Facebook Domain Insights,Google Analytics,comScore,Sitestat,Facebook Conversion Tracking,Omniture SiteCatalyst,MediaMind,Maxymiser,DoubleClick Floodlight"
virtualtourist.com	6,828	7,968			"Google Analytics"
voanews.com	2,731	1,746	"ASP_NET Ajax"		"Facebook Domain Insights,Google Analytics,Omniture SiteCatalyst"
vitamindcouncil.org	132,450	53,034	"PHP,Twenty Ten"		"Google Analytics,New Relic"
vitalmx.com	50,160	16,713	"Ruby on Rails"		"Facebook Domain Insights,comScore,Google Analytics,Nielsen//NetRatings,Efficient Frontier,MediaMind,Quantcast Measurement,VoiceFive"
volvocars.com	7,380	11,111	"ASP_NET Ajax,Microsoft Office SharePoint"		"4Q Survey,Google Analytics,iPerceptions,DoubleClick Floodlight,ClickDimensions"
visahq.com	30,997	31,786	"Shockwave Flash Embed"		"CrazyEgg,Visual Website Optimizer,Google Analytics,Preact"
virginiamason.org	183,905	35,106	"J2EE,Adobe ColdFusion"		"Google Analytics,WebTrends"
visa.com	7,363	2,497	"ASP_NET,Adobe Dreamweaver,J2EE"		"Google Analytics,Unica,Atlas Action Tags"
vocabulary.com	10,581	6,850	J2EE		"Facebook Domain Insights,Google Analytics,comScore"
vogue.co.uk	6,406	8,798			"ClickTale,Facebook Domain Insights,Google Analytics,comScore,Nielsen//NetRatings,AudienceScience,Chartbeat,Google eCommerce Conversion Tracking"

volunteermatch.org	32,418	7,539			"Facebook Domain Insights,ClickTale,Google Analytics,New Relic,Optimizely"
vistaprint.com	1,184	329			
virginmobileusa.com	6,452	1,342	"Java Servlet"		"Google Analytics,Bazaarvoice,Quantcast Measurement,DoubleClick Floodlight,Omniture SiteCatalyst,ForeSee Results"
vitalfootball.co.uk	36,206		ASP_NET		"Google Analytics,OneAll"
visualthesaurus.com	23,386	9,886	J2EE		"Google Analytics"
vividcash.com	195,357	50,562	PHP		"Google Analytics"
volusion.com	3,239	946	"Shockwave Flash Embed,PHP,ASP_NET"		"ClickTale,Facebook Domain Insights,Google Analytics,Google Analytics Enchanced Link Attribution,Marketo,Google Analytics with Ad Tracking,Google eCommerce Conversion Tracking,Optimizely"
vitals.com	10,506	2,439	PHP		"Piwik Web Analytics,comScore,Google Analytics,New Relic,Optimizely,Quantcast Measurement,Tynt Tracer"
visordown.com	47,718		"ASP_NET Ajax,ASP_NET,Telerik Controls"		"Google Analytics,New Relic,comScore,Tynt Tracer,Omniture SiteCatalyst"
vbulletin.com	3,893	4,036		Magento	"Google Analytics,Google eCommerce Conversion Tracking,Google Analytics with Ad Tracking"
venere.com	5,459				"Facebook Domain Insights"
verizon.net	1,685	379	"Shockwave Flash Embed,PHP,ASP_NET,J2EE"		"Visual Sciences,Google Analytics,WebTrends,DoubleClick Floodlight,OpinionLab,ClearSaleing Inc"	verizon.net	1,685	379	PHP,J2EE		"Visual Sciences,Google Analytics,comScore,WebTrends,Omniture SiteCatalyst,OpinionLab"
vgcats.com	50,751	15,980	"Shockwave Flash Embed,PHP"		"Google Analytics,Invite Media"
vcstar.com	50,966	12,522	"Shockwave Flash Embed,Adobe Dreamweaver"		"Facebook Domain Insights,Quantcast Measurement,Tynt Tracer,Chartbeat"
vatican.va	11,598				

vcu.edu	25,092	7,437	PHP		"CrazyEgg,Google Analytics,Preact"
verticalresponse.com	3,788	1,750	Gonzo,PHP		"Google Analytics,KISSmetrics,New Relic,Marketo,Netmining,Facebook Conversion Tracking,Google Analytics with Ad Tracking,Interclick,Optimizely,Google eCommerce Conversion Tracking,Mixpanel,IgnitionOne,DoubleClick Floodlight,Act-On,Salesforce"
veoh.com	4,255		PHP		"Insight Express,Dynamic Logic,Google Analytics,Quantcast Measurement"
vh1.com	6,997	1,935	"Shockwave Flash Embed,PHP,Adobe Dreamweaver,J2EE"		"Facebook Domain Insights,comScore,Google Analytics,Nielsen//NetRatings,Datalogix,MediaMath,Omniture SiteCatalyst,Chartbeat,Neustar AdAdvisor,Google eCommerce Conversion Tracking,Quantcast Measurement,DoubleClick Floodlight,IgnitionOne,Acxiom"
veterinarypartner.com	141,434	39,776	"ASP_NET,Adobe Dreamweaver"		"Facebook Domain Insights,Google Analytics"
venusescorts.com	350,546		PHP		"Google Analytics"
vegas.com	12,710	2,588	"Adobe Dreamweaver"		"Facebook Domain Insights,Google Analytics,WebTrends,Datalogix,Coremetrics,Marin Software,Google Analytics with Ad Tracking,Maxymiser"

verizonwireless.com	553	122	PHP,J2EE		"Facebook Domain Insights,Atlas Action Tags,Datalogix,Omniture Adobe Test and Target,Omniture SiteCatalyst,Interclick,Monetate,Google Analytics,Bazaarvoice,Compuware Analytics,Omniture Adobe Test and Target mboxCreate,MediaMath,OpinionLab,Rapleaf,DoubleClick Floodlight,Acxiom,ForeSee Results"
vdict.com	16,392		PHP		"Facebook Domain Insights,Adometry,Google Analytics,comScore,Nielsen//NetRatings,MediaMath,Datalogix,Netmining,Lotame Crowd Control,VoiceFive"

vegasinsider.com	9,019	2,164	"J2EE,ASP_NET,Adobe ColdFusion"		"Facebook Domain Insights,Google Analytics,MediaMath"
verybestbaking.com	29,773	11,187	"ASP_NET Ajax"		"MediaMind,Google Analytics,DoubleClick Floodlight,Omniture SiteCatalyst,ForeSee Results,33 Across"
vg247.com	6,484	7,792	PHP		"Google Analytics,comScore,Nielsen//NetRatings,Datalogix,Lotame Crowd Control,MediaMind,Moat,Neustar AdAdvisor,Quantcast Measurement,VoiceFive"
vectorstock.com	4,629	3,415	PHP	"Cart Functionality"	"Google Analytics,comScore,MediaMath,Twitter Analytics"
versus.com	8,334				"Facebook Domain Insights,Google Analytics,Mixpanel,Chartbeat"
uu.se	29,908		J2EE		"Google Analytics"
valottery.com	48,856	9,239	"Shockwave Flash Embed,Adobe Dreamweaver"		"Google Analytics,ForeSee Results"
valuewalk.com	11,681	4,269	"Shockwave Flash Embed,PHP,Magazine"		"Google Analytics,comScore,Insight Express,Nielsen//NetRatings,Preact,MediaMath,Netmining,StatCounter,Google Analytics with Ad Tracking,Lotame Crowd Control,CrazyEgg,Visual Website Optimizer,Quantcast Measurement,Dotomi"
vanguard.com	4,189	727			"WebTrends,MediaMath,Invite Media,Tea Leaf Technologies,DoubleClick Floodlight"
utsouthwestern.edu	135,896	40,540	PHP		"Google Analytics,CrazyEgg,comScore,Preact,MediaMath"

uwaterloo.ca	13,143		"PHP,Adobe Dreamweaver"		"Google Analytics"
va.gov	5,107	1,132	ASP_NET		"Google Analytics,WebTrends,Twitter Analytics,ForeSee Results"
valpak.com	20,492	4,832	"DAV,Java Servlet,PHP,J2EE"		"Google Analytics,comScore,Atlas Action Tags,MediaMath,Omniture SiteCatalyst,Lotame Crowd Control,Google eCommerce Conversion Tracking,Acxiom"
variety.com	2,989	753	PHP		"Google Analytics,comScore,Google Analytics Enchanced Link Attribution,Preact,Compuware Analytics,Omniture SiteCatalyst,MediaMind,CrazyEgg,Quantcast Measurement,VoiceFive,WordPress Stats"
uwmedicine.org	167,075	35,482	"ASP_NET Ajax,Microsoft Office SharePoint,Telerik Controls"		"Google Universal Analytics,Google Analytics,DoubleClick Floodlight"
valuemd.com	92,077	34,110	"Shockwave Flash Embed,PHP"		"Facebook Domain Insights,Google Analytics,Alexa Analytics,Dotomi,Site Meter"
vacationstogo.com	11,133	2,776	"Adobe ColdFusion"		"Google eCommerce Conversion Tracking"
vanguardngr.com	1,860		"PHP,Frontpage Extensions"		"Facebook Domain Insights,Alexa Metrics,Google Analytics,comScore,Alexa Certified Site Metrics"
vantagewire.com	13,122	3,055	DAV,PHP		"Google Universal Analytics,Google Analytics"
uwo.ca	23,022		"Shockwave Flash Embed"		"Google Analytics"
utoronto.ca	5,751				"Google Analytics,Google Analytics Multiple Trackers"
uzh.ch	28,092				"Piwik Web Analytics"
valvesoftware.com	17,570	11,421			"Google Analytics"
v7n.com	4,896		PHP,inFocus	E-junkie	"Google Analytics,comScore,Krux Digital,Datalogix,Efficient Frontier,Safe Count,Neustar AdAdvisor,Quantcast Measurement,VoiceFive,Acxiom,IXI Digital"
utorrent.com	2,227		PHP		"Google Analytics,Google Analytics Enchanced Link Attribution,comScore,Optimizely,Quantcast Measurement,Google Analytics with Ad Tracking"

uvic.ca	21,305				
uwhealth.org	116,129	35,216	"Shockwave Flash Embed,PHP,J2EE"		"Facebook Domain Insights,Lotame Crowd Control,Google Analytics,comScore,Datalogix,MediaMath,Acxiom"
vanderbilt.edu	14,671	5,356			"CrazyEgg,Google Analytics,Preact"
washingtoncitypaper.com	48,916	12,565	PHP,Perl		"GetClicky,comScore,CrazyEgg,Google Analytics,Quantcast Measurement"
votesmart.org	101,522	30,673	"PHP,Django CSRF"		"Facebook Domain Insights,Google Analytics,Urchin 5"
warwick.ac.uk	22,580				"Google Analytics,Google Analytics Enchanced Link Attribution"
vonage.com	7,862	1,883	PHP,J2EE		"Google Analytics,Omniture SiteCatalyst,OpinionLab,Optimost,Extole,Google eCommerce Conversion Tracking,iPerceptions,Quantcast Measurement,DoubleClick Floodlight"
vrbo.com	2,504	546	"PHP,ASP_NET MVC"	"Cart Functionality"	"Facebook Domain Insights,comScore,Google Analytics,Optimizely,Google Analytics with Ad Tracking"
vu.edu.pk	13,118		"ASP_NET Ajax"		"Google Universal Analytics,Google Analytics"
walottery.com	58,264	13,017			"Google Analytics,comScore,DoubleClick Floodlight"
warcraftpets.com	48,933	15,595	PHP		"Google Analytics,comScore,Nielsen//NetRatings,Datalogix,MediaMath,Netmining,Lotame Crowd Control,Neustar AdAdvisor,Quantcast Measurement,Invite Media"
washington.edu	3,985	1,894	PHP		"Google Analytics"
waldenu.edu	31,393	7,046	"ASP_NET Ajax,PHP"		"ClickTale,Google Analytics,comScore,MediaMath,Datalogix,Google Analytics with Ad Tracking,Lotame Crowd Control,Visual Website Optimizer,Google eCommerce Conversion Tracking,DoubleClick Floodlight,Acxiom"

voyeurweb.com	6,526	3,871	PHP		"Google Analytics"
wagerweb.ag	39,724	9,707	PHP,ASP_NET		"Alexa Metrics,Google Analytics,Alexa Certified Site Metrics"
voyages-sncf.com	1,599		PHP		"Google Analytics,comScore,Compuware Analytics,DoubleClick Floodlight,Omniture SiteCatalyst,WebTrends Optimize"
wanderlust.co.uk	58,095		"ASP_NET Ajax,Telerik Controls"		"MediaMind,Google Analytics"
vwvortex.com	13,590	6,340	PHP		"Facebook Domain Insights,Google Analytics,Quantcast Measurement"
vw.com	15,404	3,206			"Cedexis,Datalogix,DoubleClick Floodlight,Omniture Adobe Test and Target,Netmining,Omniture SiteCatalyst,BrightTag"
wakfu.com	48,408		"Shockwave Flash Embed"		"Facebook Domain Insights,Google Analytics,Google Analytics Enchanced Link Attribution"
vvsu.ru	109,592		PHP		"Google Universal Analytics,Google Analytics,Yandex Metrika"
wantlive.com	57,640	69,714			
vt.edu	8,075	3,560			"Google Analytics"

wanderingtrader.com	85,733	70,407	PHP		"Google Analytics,CrazyEgg,comScore,Preact,Quantcast Measurement,aWeber"
wanderingearl.com	51,571	38,239	PHP		"Google Analytics,Quantcast Measurement,aWeber,WordPress Stats"

virginia.edu	8,300	3,889	"Shockwave Flash Embed,DAV,PHP"		"Google Analytics"	virginia.edu	8,300	3,889	"ASP_NET Ajax,Visual Studio,ASP_NET"		"Google Analytics,Google Analytics Enchanced Link Attribution"
