Name	Global_Rank	US_Rank	Framework	Ecommerce	Analytics
newegg.com	405	121	ASP_NET	ShopRunner	"Google Analytics,comScore,Datalogix,Coremetrics,Omniture SiteCatalyst,Sidecar,BloomReach,MediaMind,Google Universal Analytics,Google eCommerce Conversion Tracking,DoubleClick Floodlight,Monetate,OwnerIQ,Twitter Analytics"
ebay.co.uk	98		"Shockwave Flash Embed,J2EE"		"Facebook Domain Insights"	ebay.co.uk	98		"Shockwave Flash Embed,PHP,J2EE"		"Facebook Domain Insights,Insight Express,comScore,MediaMath,VoiceFive"
godiva.com	42,245	13,388		"ATG Commerce,Demandware"	"comScore,Google Analytics,MediaMath,Atlas Action Tags,Coremetrics,Marin Software,Google eCommerce Conversion Tracking,Quantcast Measurement,DoubleClick Floodlight,Dotomi,Monetate,ForeSee Results"
groupon.com	356	91	"Ruby on Rails,Ruby on Rails Token"		"Facebook Domain Insights,ChannelAdvisor,New Relic,KISSmetrics,Google Analytics,Google eCommerce Conversion Tracking,DoubleClick Floodlight"
midwestsupplies.com	43,140	9,480	PHP	"Magento,Magento Enterprise"	"Google Analytics Anonymize IP,Google Analytics,Optimizely,Google eCommerce Conversion Tracking,Marin Software,Twitter Analytics"
gap.com	600	202	"Shockwave Flash Embed"	"Cart Functionality"	"Facebook Domain Insights,Datalogix,MediaMath,Atlas Action Tags,BrightTag,Omniture SiteCatalyst,Lotame Crowd Control,DoubleClick Floodlight,Dotomi"
igourmet.com	57,121	15,216	ASP_NET		"Google Analytics"
frontiercoop.com	69,759	14,082	"Shockwave Flash Embed,PHP,Adobe Dreamweaver"		"Google Analytics,SSL Google Analytics,Google Analytics with Ad Tracking"
homedepot.com	462	110	J2EE	"IBM Websphere Commerce"	"Google Analytics,Preact,Omniture Adobe Test and Target mboxCreate,Datalogix,Omniture Adobe Test and Target,Omniture SiteCatalyst,CrazyEgg,Certona,DoubleClick Floodlight,Dotomi,Twitter Analytics,ForeSee Results"
kohls.com	535	167	PHP,Batman_js,J2EE	Skava	"Facebook Domain Insights,Bazaarvoice,Google Analytics,Omniture Adobe Test and Target mboxCreate,Buysight,Omniture Adobe Test and Target,BrightTag,Omniture SiteCatalyst,BloomReach,Neustar AdAdvisor,DoubleClick Floodlight,ForeSee Results"
ediblearrangements.com	28,185	5,601	"ASP_NET Ajax"		"Google Analytics Enchanced Link Attribution,Google Analytics,Datalogix,MediaMind,Google eCommerce Conversion Tracking,Rapleaf,Quantcast Measurement,DoubleClick Floodlight,Monetate,Acxiom,ForeSee Results"
freshpasta.com	6,598,462				
diettogo.com	93,061	15,129	PHP	"Cart Functionality"	"Google Analytics,Preact,Google Analytics with Ad Tracking,Google Content Experiments,Kampyle Analytics,CrazyEgg,Google eCommerce Conversion Tracking,Quantcast Measurement,Twitter Analytics"
morebeer.com	74,447	16,742	"Microsoft Frontpage,PHP"	"Cart Functionality"	"Google Analytics,Google eCommerce Conversion Tracking"
